,MKT_EXBTCETH
2022-01-01,100.0
2022-01-02,100.26693108003755
2022-01-03,99.3255761208555
2022-01-04,98.23695173283757
2022-01-05,92.08787213971478
2022-01-06,92.06645754732612
2022-01-07,86.8798847220559
2022-01-08,85.06180502069628
2022-01-09,86.54774928911952
2022-01-10,84.32113468380385
2022-01-11,88.73188625977183
2022-01-12,93.7969702612367
2022-01-13,90.27900217922875
2022-01-14,92.85469311580047
2022-01-15,93.15014676266009
2022-01-16,94.63991730922348
2022-01-17,91.18828479713056
2022-01-18,89.35627507813751
2022-01-19,85.39267025900239
2022-01-20,81.49310191152
2022-01-21,71.31064598567161
2022-01-22,64.41072315871635
2022-01-23,67.89639025623504
2022-01-24,64.7154516038196
2022-01-25,66.1154413239244
2022-01-26,65.2499892412375
2022-01-27,64.35893748419593
2022-01-28,65.33631183201885
2022-01-29,66.9909289602662
2022-01-30,65.04322529469687
2022-01-31,67.11832725363561
2022-02-01,69.32459559364143
2022-02-02,65.7142720781558
2022-02-03,66.68861796137507
2022-02-04,72.66976931551211
2022-02-05,73.36495164176662
2022-02-06,75.58627048783526
2022-02-07,79.95434133244107
2022-02-08,78.347419614807
2022-02-09,79.74885017672217
2022-02-10,76.06734373177127
2022-02-11,70.55477929457035
2022-02-12,70.95796960387652
2022-02-13,69.63860117359296
2022-02-14,70.70525147153056
2022-02-15,76.17224130322458
2022-02-16,75.18410756092767
2022-02-17,69.49845292275211
2022-02-18,68.25515273463543
2022-02-19,68.89723498866746
2022-02-20,65.3667675067474
2022-02-21,60.39122693255307
2022-02-22,62.949976643311686
2022-02-23,61.314946279706476
2022-02-24,61.67866547621838
2022-02-25,65.0603174735658
2022-02-26,65.03180286258431
2022-02-27,62.27319008666959
2022-02-28,69.40542892890512
2022-03-01,70.25799421709316
2022-03-02,69.27952813801835
2022-03-03,67.42834401740674
2022-03-04,62.93848461015512
2022-03-05,64.4624569457409
2022-03-06,61.64493885756256
2022-03-07,60.40427025537433
2022-03-08,61.17590773010673
2022-03-09,64.9069338972662
2022-03-10,61.72971787628438
2022-03-11,61.346507938136256
2022-03-12,61.44483525220491
2022-03-13,59.466361320714924
2022-03-14,61.037647696303274
2022-03-15,61.13545687322169
2022-03-16,64.20932331797627
2022-03-17,64.5837672659773
2022-03-18,66.25582148825684
2022-03-19,68.26097905813113
2022-03-20,66.14264378802342
2022-03-21,67.27324668502587
2022-03-22,69.10061605966287
2022-03-23,71.86888971468389
2022-03-24,74.10199877635671
2022-03-25,71.91946582781851
2022-03-26,73.7824042401013
2022-03-27,77.7850561389446
2022-03-28,77.08642670275123
2022-03-29,79.55466040826919
2022-03-30,81.30455033771761
2022-03-31,79.11226041157244
2022-04-01,82.24670272317852
2022-04-02,81.43145172080023
2022-04-03,84.42218032410922
2022-04-04,83.12765845023455
2022-04-05,80.90654830294264
2022-04-06,73.39740836545367
2022-04-07,76.7908808150398
2022-04-08,73.19952075178057
2022-04-09,74.4918091085038
2022-04-10,72.52411039529083
2022-04-11,66.56542038297789
2022-04-12,69.19406200603399
2022-04-13,70.80549844251178
2022-04-14,68.98580977534101
2022-04-15,70.24913434271211
2022-04-16,70.6465682029367
2022-04-17,68.22154012330518
2022-04-18,69.83880925912841
2022-04-19,71.98839153698913
2022-04-20,70.47952549417877
2022-04-21,67.9866627001444
2022-04-22,67.65623233034452
2022-04-23,66.98079937755942
2022-04-24,66.07851106362659
2022-04-25,66.82867220708144
2022-04-26,62.116892012617264
2022-04-27,63.40936812741019
2022-04-28,63.23383480271766
2022-04-29,60.199880522594995
2022-04-30,55.37952250234912
2022-05-01,58.25392125873039
2022-05-02,57.77231844873825
2022-05-03,57.196732126109254
2022-05-04,62.529200719496394
2022-05-05,56.60494094699121
2022-05-06,56.08075174194687
2022-05-07,54.23885635201221
2022-05-08,52.89603953584088
2022-05-09,43.61410530964055
2022-05-10,46.315123970781734
2022-05-11,36.54860739856446
2022-05-12,34.37751059041545
2022-05-13,37.63974931462597
2022-05-14,38.73898912827246
2022-05-15,41.54064560442367
2022-05-16,38.401490160364396
2022-05-17,40.12771671716468
2022-05-18,36.02407918446554
2022-05-19,37.875771719904456
2022-05-20,36.570667372835594
2022-05-21,37.48199737169204
2022-05-22,38.59672515348206
2022-05-23,37.15351509393889
2022-05-24,37.88223272380217
2022-05-25,37.11109531961036
2022-05-26,34.339247951782724
2022-05-27,33.37168006689299
2022-05-28,34.54858314987316
2022-05-29,35.18015429203302
2022-05-30,38.01251380861331
2022-05-31,38.08002737697668
2022-06-01,34.84395271438901
2022-06-02,36.17325448198097
2022-06-03,34.48041747723565
2022-06-04,35.007547047780356
2022-06-05,34.75492331702695
2022-06-06,36.0364517595581
2022-06-07,35.11250662622678
2022-06-08,34.69692619496675
2022-06-09,34.95572821830675
2022-06-10,32.82465110497504
2022-06-11,30.5480987430245
2022-06-12,28.09368085360478
2022-06-13,25.648665825948854
2022-06-14,26.22601248788637
2022-06-15,28.873351605125475
2022-06-16,25.485077118071526
2022-06-17,26.13176042805113
2022-06-18,24.883879086107864
2022-06-19,26.88311069416335
2022-06-20,27.336269476612635
2022-06-21,28.087143090294248
2022-06-22,26.913801516202607
2022-06-23,28.82751542983939
2022-06-24,30.55470718670258
2022-06-25,30.914977152826147
2022-06-26,29.71831552923157
2022-06-27,29.384063782697535
2022-06-28,27.76559573651228
2022-06-29,27.384279049356792
2022-06-30,27.168092929904407
2022-07-01,26.490777886433698
2022-07-02,26.71120942119101
2022-07-03,26.84374548664884
2022-07-04,28.226408092314298
2022-07-05,27.65859102536814
2022-07-06,28.352083274032232
2022-07-07,29.450663554114616
2022-07-08,29.1024159989475
2022-07-09,29.71926973775576
2022-07-10,28.485265222532576
