,SOL,BNB,XRP,ADA,DOGE,TRX,AVAX,LINK,DOT,LTC,BCH,UNI,ATOM,XLM,ETC,NEAR,FIL,APT,ICP,HBAR,SUI,ARB,OP,INJ,SHIB,TON,PEPE,AAVE,MKR,VET,RENDER,ALGO
2022-01-25,94.67,385.1,0.618,1.043,0.1427,0.05588,68.01,15.49,18.31,107.8,291.6,10.58,35.87,0.1966,24.03,12.135,18.15,,20.05,0.2114,,,,4.399,2.101e-05,,,151.8,1808.0,0.05363,,0.9224
2022-01-26,92.12,375.1,0.6193,1.077,0.1431,0.0562,65.87,15.23,18.08,106.9,289.1,10.58,32.36,0.1966,24.31,11.302,19.27,,19.81,0.2119,,,,4.338,2.11e-05,,,146.5,1704.0,0.05337,,0.9231
2022-01-27,89.51,389.9,0.6088,1.042,0.1414,0.05649,64.7,15.22,18.12,106.9,289.6,10.32,30.06,0.1941,24.31,10.541,19.2,,19.59,0.2084,,,,4.222,2.128e-05,,,144.5,1766.0,0.05237,,0.9361
2022-01-28,91.34,385.9,0.6111,1.048,0.1414,0.05757,67.01,16.15,18.34,109.4,296.8,10.67,29.47,0.1986,25.16,10.769,19.61,,20.3,0.216,,,,4.495,2.122e-05,,,149.0,1871.0,0.05392,,0.9584
2022-01-29,96.13,389.3,0.6174,1.059,0.143,0.06034,71.89,16.23,18.74,110.8,298.8,11.16,29.08,0.2032,25.33,11.048,20.28,,20.17,0.2222,,,,4.416,2.167e-05,,,154.0,1952.0,0.05449,,0.969
2022-01-30,93.29,377.2,0.6013,1.035,0.1391,0.05863,67.96,17.77,18.15,108.6,290.0,10.79,27.19,0.1952,24.91,10.357,19.82,,19.23,0.2189,,,,4.291,2.11e-05,,,148.9,1999.0,0.05256,,0.9447
2022-01-31,99.49,374.3,0.6174,1.051,0.1415,0.05906,69.87,17.15,19.37,109.5,285.0,11.77,28.05,0.1996,25.66,11.12,21.29,,19.8,0.2217,,,,4.214,2.142e-05,,,157.5,2133.0,0.05385,,0.9499
2022-02-01,110.02,384.2,0.6284,1.096,0.1423,0.05979,73.33,16.98,19.57,115.0,287.7,11.11,28.84,0.2019,26.79,11.211,20.89,,20.16,0.2291,,,,4.321,2.168e-05,,,163.7,2196.0,0.05452,,0.9663
2022-02-02,101.88,366.9,0.6006,1.027,0.137,0.05847,67.79,15.78,18.76,108.3,277.8,10.52,26.31,0.193,26.26,10.863,20.17,,21.59,0.2202,,,,4.068,2.061e-05,,,151.2,2141.0,0.05192,,0.9227
2022-02-03,101.77,372.3,0.6102,1.061,0.1379,0.05981,68.44,16.3,18.92,111.0,281.2,10.41,29.67,0.1951,27.92,10.959,20.35,,20.79,0.2373,,,,4.134,2.075e-05,,,153.0,2295.0,0.05248,,0.9357
2022-02-04,112.62,399.5,0.6555,1.138,0.1478,0.06441,77.77,17.5,20.48,121.3,306.2,11.18,31.1,0.209,29.69,12.984,21.62,,22.26,0.2486,,,,4.48,2.219e-05,,,166.8,2280.0,0.05862,,0.9973
2022-02-05,113.75,413.7,0.6656,1.125,0.1469,0.06467,77.01,17.76,21.33,121.7,320.5,11.25,30.73,0.2131,29.42,12.815,21.98,,22.24,0.2576,,,,4.441,2.25e-05,,,166.2,2256.0,0.05909,,1.0015
2022-02-06,115.28,419.9,0.6825,1.143,0.1539,0.06617,78.93,18.07,21.91,127.6,324.7,11.67,31.26,0.2238,29.89,13.495,22.45,,23.36,0.2582,,,,4.742,2.849e-05,,,173.5,2243.0,0.06128,,1.0247
2022-02-07,117.55,433.5,0.8314,1.199,0.1653,0.06852,83.2,18.88,22.35,137.4,343.1,12.37,31.63,0.2393,32.67,13.503,24.52,,24.02,0.2611,,,,5.121,3.256e-05,,,182.1,2250.0,0.06781,,1.07
2022-02-08,113.45,407.8,0.8763,1.176,0.1581,0.06806,86.34,18.38,21.66,133.7,335.5,11.94,30.39,0.242,32.07,12.778,24.62,,23.0,0.2537,,,,4.807,3.096e-05,,,183.9,2206.0,0.0643,,1.0235
2022-02-09,113.93,422.9,0.8697,1.195,0.1594,0.06991,90.05,18.67,21.94,140.1,345.9,12.32,30.93,0.2387,33.79,12.995,24.29,,23.07,0.2567,,,,4.916,3.294e-05,,,188.0,2247.0,0.06701,,1.0363
2022-02-10,106.17,414.7,0.8253,1.15,0.1514,0.0685,91.16,17.5,20.51,134.6,340.7,11.41,29.08,0.2314,34.34,11.787,23.14,,21.57,0.246,,,,4.999,3.083e-05,,,175.4,2103.0,0.06283,,0.9813
2022-02-11,96.53,400.0,0.7591,1.079,0.1446,0.06399,81.75,16.21,18.98,125.6,320.9,10.64,26.57,0.2154,32.69,10.854,21.1,,19.82,0.2336,,,,7.368,2.87e-05,,,163.6,2025.0,0.05791,,0.9161
2022-02-12,95.96,403.6,0.8223,1.059,0.1444,0.06352,81.31,15.95,18.82,126.7,330.5,10.65,27.05,0.2181,31.71,10.793,20.87,,20.04,0.2313,,,,7.21,2.914e-05,,,162.4,1991.0,0.05757,,0.9187
